G2,G1,failures,higher,age,school,goout,Mjob,Fjob,health,freetime,absences,Walc,famrel,Medu,Fedu,G3
D,F,0,yes,18,GP,4,at_home,teacher,3,3,4,1,4,4,4,D
D,F,0,yes,17,GP,3,at_home,other,3,3,2,1,5,1,1,D
C,C,0,yes,15,GP,2,at_home,other,3,3,6,3,4,1,1,C
B,B,0,yes,15,GP,2,health,services,5,2,0,1,3,4,2,B
C,D,0,yes,16,GP,2,other,other,5,3,0,2,4,3,3,C
C,C,0,yes,16,GP,2,services,other,5,4,6,2,5,4,3,C
C,C,0,yes,16,GP,4,other,other,3,4,0,1,4,2,2,C
C,D,0,yes,17,GP,4,other,teacher,1,1,2,1,4,4,4,C
A,B,0,yes,15,GP,2,services,other,1,2,0,1,4,3,2,A
C,C,0,yes,15,GP,1,other,other,5,5,0,1,5,3,4,C
B,B,0,yes,15,GP,3,teacher,health,2,3,2,2,3,4,4,B
C,D,0,yes,15,GP,2,services,other,4,2,0,1,5,2,1,C
C,C,0,yes,15,GP,3,health,services,5,3,0,3,4,4,4,C
C,C,0,yes,15,GP,3,teacher,other,3,4,0,2,5,4,3,C
B,B,0,yes,15,GP,2,other,other,3,5,0,1,4,2,2,B
A,A,0,yes,16,GP,4,health,other,2,4,6,2,4,4,4,A
C,C,0,yes,16,GP,3,services,services,2,2,10,2,3,4,4,B
B,C,0,yes,16,GP,2,other,other,4,3,2,1,5,3,3,B
F,F,3,yes,17,GP,5,services,services,5,5,2,4,5,3,2,F
C,C,0,yes,16,GP,3,health,other,5,1,6,3,3,4,3,C
C,C,0,yes,15,GP,1,teacher,other,1,4,0,1,4,4,3,B
C,D,0,yes,15,GP,2,health,health,5,4,0,1,5,4,4,C
C,C,0,yes,16,GP,1,teacher,other,5,5,0,3,4,4,2,B
D,D,0,yes,16,GP,4,other,other,5,4,2,4,5,2,2,D
D,D,0,yes,15,GP,2,services,health,5,3,2,1,4,2,4,D
D,D,0,yes,16,GP,2,services,services,5,2,6,3,1,2,2,C
C,D,0,yes,15,GP,2,other,other,5,2,8,2,4,2,2,C
D,D,0,yes,15,GP,4,health,services,1,2,0,4,2,4,2,D
C,C,0,yes,16,GP,3,services,other,5,3,2,1,5,3,4,C
D,C,0,yes,16,GP,5,teacher,teacher,5,4,4,5,4,4,4,C
D,D,0,yes,15,GP,2,health,services,5,4,0,4,5,4,4,D
B,B,0,yes,15,GP,1,services,services,5,3,2,1,4,4,4,B
B,C,0,yes,15,GP,2,teacher,at_home,5,5,0,1,4,4,3,B
C,C,0,yes,15,GP,2,other,other,2,3,0,1,5,3,3,C
C,C,0,yes,16,GP,3,other,other,5,4,4,1,5,3,2,C
D,D,0,yes,15,GP,1,other,other,5,5,4,1,3,2,3,D
B,B,0,yes,15,GP,3,teacher,services,4,4,0,1,5,4,3,B
