age,hours_per_week,workclass,education,marital_status,occupation,race,gender,income
42,45,Private,HS-grad,Married,Blue-Collar,White,Male,1
32,40,Self-Employed,Some-college,Married,Blue-Collar,White,Male,0
35,40,Private,Assoc,Single,White-Collar,White,Female,1
36,40,Private,HS-grad,Single,Blue-Collar,White,Male,0
57,35,Private,School,Married,Service,White,Male,0
37,20,Other/Unknown,Some-college,Married,Other/Unknown,White,Male,0
65,40,Private,Some-college,Married,White-Collar,White,Male,0
58,40,Private,HS-grad,Divorced,White-Collar,White,Female,0
43,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
55,40,Private,Some-college,Divorced,Professional,White,Female,0
50,50,Private,Assoc,Married,White-Collar,White,Male,1
25,40,Private,Assoc,Single,Service,Other,Female,0
43,50,Government,Doctorate,Single,Professional,White,Female,1
53,24,Private,Some-college,Married,Professional,White,Female,0
40,45,Private,Prof-school,Married,Professional,White,Male,1
39,56,Private,Assoc,Single,Service,White,Female,0
42,40,Private,Some-college,Divorced,Blue-Collar,White,Female,0
52,60,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,0
28,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
53,40,Private,Bachelors,Single,Service,White,Male,0
28,40,Private,HS-grad,Single,Blue-Collar,White,Male,0
59,40,Government,HS-grad,Married,Sales,White,Female,1
48,40,Private,HS-grad,Single,Blue-Collar,Other,Female,0
55,60,Self-Employed,Bachelors,Married,Sales,White,Male,1
42,40,Private,Some-college,Single,White-Collar,White,Female,0
27,40,Private,Some-college,Single,Sales,White,Male,0
61,37,Private,HS-grad,Married,Blue-Collar,White,Male,0
33,40,Private,School,Divorced,White-Collar,White,Male,0
20,43,Other/Unknown,HS-grad,Single,Other/Unknown,Other,Male,0
29,40,Government,Some-college,Single,Service,White,Female,0
30,40,Private,Prof-school,Single,Professional,Other,Female,0
38,60,Private,HS-grad,Married,White-Collar,White,Male,1
36,40,Private,HS-grad,Divorced,White-Collar,White,Female,0
41,40,Government,Bachelors,Married,Professional,Other,Female,1
21,40,Private,Some-college,Single,White-Collar,Other,Female,0
29,20,Private,Some-college,Married,Blue-Collar,White,Male,0
17,30,Other/Unknown,School,Single,Other/Unknown,White,Female,0
58,50,Private,HS-grad,Married,White-Collar,White,Male,1
67,40,Private,Some-college,Married,White-Collar,White,Male,0
25,40,Private,Assoc,Married,Professional,White,Female,1
19,20,Private,Some-college,Single,Blue-Collar,White,Male,0
42,40,Private,Bachelors,Married,Sales,White,Male,1
43,35,Self-Employed,HS-grad,Divorced,Blue-Collar,White,Male,0
36,40,Private,Some-college,Married,White-Collar,White,Female,0
50,45,Private,HS-grad,Married,White-Collar,White,Male,1
68,45,Private,Some-college,Widowed,White-Collar,White,Female,0
22,4,Private,Bachelors,Single,White-Collar,White,Male,0
37,50,Private,Bachelors,Married,Service,White,Male,1
22,25,Private,Some-college,Single,Blue-Collar,White,Male,0
36,40,Private,Masters,Single,Professional,White,Male,0
40,25,Private,HS-grad,Single,Service,White,Male,0
32,40,Private,Bachelors,Married,Sales,Other,Male,0
27,36,Private,Assoc,Single,Service,White,Female,0
20,40,Private,Some-college,Single,Blue-Collar,White,Female,0
22,50,Private,HS-grad,Single,Blue-Collar,White,Male,0
36,40,Private,Some-college,Married,White-Collar,Other,Female,1
90,40,Private,Masters,Married,Professional,White,Female,1
18,8,Private,School,Single,Service,Other,Male,0
24,40,Self-Employed,HS-grad,Single,Sales,White,Male,0
67,24,Private,HS-grad,Married,Service,White,Male,0
37,40,Private,Some-college,Single,Service,Other,Female,0
37,50,Private,HS-grad,Married,Blue-Collar,White,Male,0
32,40,Private,Assoc,Widowed,Service,Other,Female,0
34,25,Private,Some-college,Married,Service,Other,Female,0
23,36,Private,School,Single,Blue-Collar,White,Male,0
49,40,Private,HS-grad,Married,Blue-Collar,White,Male,0
27,52,Private,Assoc,Single,Sales,White,Male,0
29,40,Private,Masters,Married,Professional,White,Male,1
35,40,Government,HS-grad,Married,Service,Other,Male,0
41,40,Private,Bachelors,Divorced,White-Collar,White,Female,0
28,30,Private,School,Married,Blue-Collar,White,Male,0
29,40,Private,HS-grad,Single,Service,White,Male,0
34,45,Private,HS-grad,Married,Blue-Collar,White,Male,0
52,40,Private,HS-grad,Widowed,Sales,White,Female,0
30,40,Private,Some-college,Single,Blue-Collar,White,Female,0
21,40,Private,HS-grad,Single,Blue-Collar,White,Male,0
28,80,Private,Masters,Single,White-Collar,White,Female,0
44,38,Private,Some-college,Single,Blue-Collar,White,Male,0
23,40,Private,Some-college,Single,Blue-Collar,White,Male,0
61,12,Self-Employed,HS-grad,Married,Service,Other,Male,0
51,40,Private,School,Married,Blue-Collar,White,Male,1
68,32,Private,HS-grad,Widowed,Blue-Collar,White,Female,0
68,40,Government,HS-grad,Divorced,Professional,White,Female,0
29,80,Private,Bachelors,Married,Blue-Collar,Other,Male,1
