method,sample_frac,time
C-CHVAE,0.01,6.621819496154785
C-CHVAE,0.05,16.764925956726074
C-CHVAE,0.1,26.19691252708435
C-CHVAE,0.2,47.34682774543762
C-CHVAE,0.3,71.44316458702087
C-CHVAE,0.4,92.72993278503418
C-CHVAE,0.5,117.20879292488098
C-CHVAE,0.6,141.37460327148438
C-CHVAE,0.7,162.4353384971619
C-CHVAE,0.8,187.49045300483704
CLUE,0.01,3.9218788146972656
CLUE,0.05,6.512772798538208
CLUE,0.1,10.122374057769775
CLUE,0.2,15.694341659545898
CLUE,0.3,21.7714159488678
CLUE,0.4,27.74567151069641
CLUE,0.5,61.305779695510864
CLUE,0.6,61.4156289100647
CLUE,0.7,59.57297873497009
CLUE,0.8,61.79182004928589
CounterNet,0.01,2.176452398300171
CounterNet,0.05,2.1538867950439453
CounterNet,0.1,2.2685625553131104
CounterNet,0.2,2.4157474040985107
CounterNet,0.3,2.4772658348083496
CounterNet,0.4,2.660524368286133
CounterNet,0.5,2.8536393642425537
CounterNet,0.6,3.028551816940308
CounterNet,0.7,3.089216470718384
CounterNet,0.8,3.3238139152526855
DiverseCF,0.01,7.44288182258606
DiverseCF,0.05,22.468953371047974
DiverseCF,0.1,41.78691601753235
DiverseCF,0.2,80.72842502593994
DiverseCF,0.3,154.05655002593994
DiverseCF,0.4,136.75213432312012
DiverseCF,0.5,205.6262764930725
DiverseCF,0.6,221.7825026512146
DiverseCF,0.7,273.4436402320862
DiverseCF,0.8,289.59148693084717
Growing Sphere,0.01,19.25722289085388
Growing Sphere,0.05,58.72372341156006
Growing Sphere,0.1,109.1322786808014
Growing Sphere,0.2,216.8671841621399
Growing Sphere,0.3,324.664496421814
Growing Sphere,0.4,432.900493144989
Growing Sphere,0.5,541.0952038764954
Growing Sphere,0.6,651.5481715202332
Growing Sphere,0.7,756.6971323490143
Growing Sphere,0.8,867.2243082523346
ProtoCF,0.01,4.804010629653931
ProtoCF,0.05,13.8744535446167
ProtoCF,0.1,23.51871490478516
ProtoCF,0.2,49.326759338378906
ProtoCF,0.3,76.69039225578308
ProtoCF,0.4,95.72646617889404
ProtoCF,0.5,201.79834604263303
ProtoCF,0.6,212.2948515415192
ProtoCF,0.7,187.91815066337583
ProtoCF,0.8,201.26870107650757
VAECF,0.01,2.054981470108032
VAECF,0.05,3.2723960876464844
VAECF,0.1,3.687249660491944
VAECF,0.2,1.9230716228485107
VAECF,0.3,1.9869780540466309
VAECF,0.4,1.9898662567138672
VAECF,0.5,2.247147560119629
VAECF,0.6,4.30199670791626
VAECF,0.7,2.672590732574463
VAECF,0.8,4.657034635543823
VanillaCF,0.01,5.406393527984619
VanillaCF,0.05,9.067302227020264
VanillaCF,0.1,14.507374286651611
VanillaCF,0.2,30.604750394821167
VanillaCF,0.3,43.92973709106445
VanillaCF,0.4,56.569844245910645
VanillaCF,0.5,70.51305413246155
VanillaCF,0.6,81.4822289943695
VanillaCF,0.7,94.91609621047974
VanillaCF,0.8,107.12353610992432
