failures,age,G2,G1,higher,school,goout,Mjob,Fjob,health,freetime,absences,Walc,famrel,Medu,Fedu,G3
0,16,A,A,yes,GP,4,health,teacher,4,4,0,3,2,4,4,1
1,17,F,F,yes,GP,3,at_home,services,5,4,14,4,4,3,4,0
0,16,F,F,yes,MS,2,at_home,other,5,3,6,3,4,1,1,0
0,16,D,D,yes,GP,2,services,services,5,3,0,4,4,3,3,0
0,17,C,C,yes,GP,3,teacher,other,4,3,0,3,3,4,4,0
2,19,D,F,no,GP,2,at_home,other,5,4,0,1,3,0,1,0
3,17,F,F,no,GP,1,other,other,3,5,0,1,4,2,1,0
0,19,C,B,yes,GP,4,health,other,2,3,2,3,2,4,4,0
0,18,B,B,yes,GP,4,health,other,4,2,0,1,4,4,4,1
0,17,C,D,yes,GP,4,other,teacher,1,1,2,1,4,4,4,0
0,16,C,B,yes,MS,5,other,other,5,2,8,5,4,4,3,0
0,17,F,D,yes,GP,5,other,other,1,4,16,4,3,4,3,0
0,16,F,D,yes,GP,3,services,services,3,3,0,2,3,1,2,0
1,16,D,F,yes,GP,3,at_home,other,2,3,4,3,5,3,3,0
0,18,F,F,yes,MS,1,teacher,other,5,3,0,1,5,4,2,0
0,16,D,D,yes,MS,5,at_home,other,5,5,0,4,4,1,1,0
1,17,C,D,yes,GP,2,other,at_home,3,1,6,1,4,3,1,0
1,19,F,F,no,MS,5,at_home,services,2,5,0,3,5,1,1,0
0,17,C,C,yes,GP,1,other,teacher,5,1,0,2,4,4,4,0
0,15,D,C,yes,MS,3,services,services,3,3,11,4,4,3,3,0
1,18,F,F,yes,GP,1,at_home,services,5,3,16,1,5,2,2,0
1,18,C,B,yes,GP,4,health,health,4,4,2,1,2,4,4,0
0,16,C,C,yes,GP,4,other,other,3,4,0,1,4,2,2,0
0,16,B,A,yes,GP,4,teacher,teacher,5,4,6,2,5,4,4,1
1,16,D,D,yes,GP,5,other,services,5,5,0,4,4,3,3,0
0,16,B,C,yes,GP,3,other,other,5,2,0,2,4,2,1,1
0,15,D,F,yes,MS,5,other,services,5,5,11,3,5,1,2,0
0,17,B,C,yes,MS,5,health,health,5,2,0,1,5,4,4,1
1,18,F,F,no,MS,3,services,other,5,3,2,3,5,1,1,0
0,18,D,D,yes,MS,4,at_home,services,1,1,8,5,4,1,2,0
0,17,B,B,yes,GP,4,at_home,services,5,3,2,5,4,3,4,1
0,16,F,F,yes,MS,3,other,other,1,1,0,3,3,3,1,0
0,16,D,F,no,GP,5,other,other,4,3,0,4,4,2,2,0
0,16,D,D,yes,GP,4,at_home,at_home,1,4,4,3,3,1,1,0
0,15,C,B,yes,GP,4,services,services,5,5,6,2,5,2,2,0
0,17,A,A,yes,GP,2,services,other,3,1,0,1,3,3,1,1
0,15,B,B,yes,GP,3,teacher,services,4,4,0,1,5,4,3,1
0,16,C,B,yes,GP,2,other,health,5,2,2,2,4,2,4,0
0,16,F,F,yes,MS,1,at_home,other,2,2,2,1,4,3,4,0
0,16,F,F,yes,GP,3,teacher,health,5,1,6,5,4,4,4,0
1,16,F,F,yes,MS,2,other,services,4,3,3,2,1,1,2,0
0,18,B,B,yes,MS,4,teacher,services,1,3,4,1,4,3,1,1
0,17,D,D,yes,MS,5,other,other,3,5,2,3,5,2,3,0
0,15,B,B,yes,GP,3,teacher,health,2,3,2,2,3,4,4,1
0,17,A,C,yes,GP,4,services,services,4,3,0,3,4,2,2,1
0,16,C,D,yes,MS,2,teacher,health,5,1,0,5,4,4,4,0
0,16,A,A,yes,GP,3,health,services,3,2,0,1,4,4,2,1
0,18,A,B,yes,GP,2,teacher,other,5,3,2,4,4,4,2,1
0,15,B,C,yes,GP,3,teacher,teacher,4,5,4,1,5,4,4,1
3,18,F,D,yes,GP,3,other,other,4,3,9,5,3,2,2,0
0,15,C,C,yes,GP,3,services,other,5,3,2,1,5,4,4,0
0,16,C,C,yes,MS,2,at_home,other,2,2,0,3,4,1,1,1
2,21,C,F,yes,GP,2,other,other,5,3,0,1,3,4,4,0
0,15,C,C,yes,MS,4,services,other,1,5,4,1,4,3,3,0
0,16,F,F,no,MS,5,at_home,other,3,4,0,3,4,1,2,0
0,15,D,F,yes,GP,2,teacher,services,3,2,6,1,2,4,3,0
0,17,F,F,no,GP,4,other,other,4,4,8,3,4,2,2,0
0,19,C,C,yes,MS,5,other,other,1,4,0,1,5,2,2,0
0,17,A,B,yes,GP,4,teacher,teacher,5,4,2,1,4,4,4,1
0,16,F,F,no,GP,2,teacher,teacher,5,3,16,1,3,4,4,0
1,19,F,F,no,MS,1,at_home,services,3,3,6,1,5,1,1,0
0,16,F,D,yes,GP,3,services,other,5,3,0,2,4,3,1,0
0,17,D,F,no,GP,2,other,services,4,2,0,1,5,2,2,0
0,15,C,C,yes,GP,2,other,other,4,3,2,3,4,1,1,0
2,18,F,F,yes,MS,4,other,other,5,4,3,2,3,1,1,0
0,15,F,D,yes,GP,2,other,other,5,3,2,2,5,2,3,0
1,18,F,F,no,MS,1,services,other,5,3,0,2,2,3,2,0
0,18,D,D,yes,MS,4,services,services,5,3,0,1,5,3,3,0
0,19,D,D,yes,GP,4,at_home,services,5,3,0,2,5,3,2,0
0,19,D,D,yes,GP,3,other,services,5,5,0,2,4,3,3,0
0,16,C,D,yes,GP,2,other,other,5,3,0,2,4,3,3,0
0,17,C,D,yes,GP,4,services,services,4,3,6,3,4,3,3,1
0,17,C,C,yes,GP,3,services,teacher,5,2,4,2,5,4,4,1
2,16,D,D,yes,GP,4,services,other,5,4,0,3,4,1,1,0
0,15,A,A,yes,GP,4,services,other,1,4,0,1,5,3,4,1
1,17,D,F,yes,GP,4,health,other,5,4,0,2,4,1,1,0
0,16,D,C,no,GP,5,other,other,5,3,4,2,5,1,2,0
0,18,D,F,yes,GP,4,at_home,teacher,3,3,4,1,4,4,4,0
1,17,F,F,no,GP,2,at_home,other,5,3,8,2,3,2,1,0
0,18,F,D,yes,GP,3,other,services,5,3,8,3,4,3,3,0
0,15,C,C,yes,GP,4,services,services,5,3,0,3,3,4,4,0
